species,latitude,longitude,year,month,day,size_class,total,location,sst_year_met,sst_month_met,sst_mean_annual,sst_month_noaa,year_of_protection,rls_mpa,MPA
Trachinops taeniatus,-33.78,151.3,2009,6,27,5,15,-34_151,20.488441785176597,19.026844024658203,20.580270093114816,20.48599953651428,NA,NA,0
Trachinops taeniatus,-33.78,151.3,2009,6,27,2.5,5,-34_151,20.488441785176597,19.026844024658203,20.580270093114816,20.48599953651428,NA,NA,0
Trachinops taeniatus,-33.78,151.3,2009,9,27,2.5,21,-34_151,20.488441785176597,18.62691116333008,20.580270093114816,17.885749578475952,NA,NA,0
Trachinops taeniatus,-33.78,151.3,2009,9,27,5,105,-34_151,20.488441785176597,18.62691116333008,20.580270093114816,17.885749578475952,NA,NA,0
Trachinops taeniatus,-33.78,151.3,2009,9,27,7.5,14,-34_151,20.488441785176597,18.62691116333008,20.580270093114816,17.885749578475952,NA,NA,0
Trachinops taeniatus,-33.78,151.3,2009,9,27,5,50,-34_151,20.488441785176597,18.62691116333008,20.580270093114816,17.885749578475952,NA,NA,0
Trachinops taeniatus,-33.78,151.3,2009,9,27,7.5,206,-34_151,20.488441785176597,18.62691116333008,20.580270093114816,17.885749578475952,NA,NA,0
Trachinops taeniatus,-33.78,151.3,2009,9,27,10,110,-34_151,20.488441785176597,18.62691116333008,20.580270093114816,17.885749578475952,NA,NA,0
Trachinops taeniatus,-33.78,151.3,2009,9,27,5,348,-34_151,20.488441785176597,18.62691116333008,20.580270093114816,17.885749578475952,NA,NA,0
Trachinops taeniatus,-33.78,151.3,2009,9,27,7.5,50,-34_151,20.488441785176597,18.62691116333008,20.580270093114816,17.885749578475952,NA,NA,0
Trachinops taeniatus,-33.84,151.28,2009,12,13,2.5,450,-34_151,20.488441785176597,21.631641387939453,20.580270093114816,21.47491884231567,NA,NA,0
Trachinops taeniatus,-33.84,151.28,2009,12,13,5,550,-34_151,20.488441785176597,21.631641387939453,20.580270093114816,21.47491884231567,NA,NA,0
