box_id,year,sst_mean_annual
-30_153,1992,22.671059585529598
-30_153,1993,22.41529814106144
-30_153,1994,22.28038852534882
-30_153,1995,22.59891456604004
-30_153,1996,22.555212618093023
-30_153,1997,23.033835125230762
-30_153,1998,23.534125512528092
-30_153,1999,22.947402225651153
-30_153,2000,22.32709238125327
-30_153,2001,23.177714544844953
-30_153,2002,22.91763786733967
-30_153,2003,22.537177558794415
-30_153,2004,22.55695031588195
-30_153,2005,22.99795567029143
-30_153,2006,22.904317305055383
-30_153,2007,22.662783035905395
-30_153,2008,22.548912072311985
-30_153,2009,22.6684816679236
-30_153,2010,23.24009262921059
-30_153,2011,22.952492624570247
-30_153,2012,22.73355141102942
-30_153,2013,22.920240577802264
-30_153,2014,22.872711824390986
-30_153,2015,23.348306332940926
-30_153,2016,23.047491277892732
-30_153,2017,23.121484413669535
-30_153,2018,22.95884329599877
-30_153,2019,22.87190632650297
-30_153,2020,23.15332735614047
-30_153,2021,22.933665240562124
-30_153,2022,22.838788522171647
-30_153,2023,22.79753922240375
-30_153,2024,23.33993388733577
-30_153,2025,23.214739208482715
-32_159,1992,20.797704441299857
-32_159,1993,21.590424161414578
-32_159,1994,21.109026901036092
-32_159,1995,21.21979404606231
-32_159,1996,21.580600584791007
-32_159,1997,21.445711833483553
-32_159,1998,22.023958394298816
-32_159,1999,21.29895843871652
-32_159,2000,20.894193545065292
-32_159,2001,21.111972129508242
-32_159,2002,21.31194468981599
-32_159,2003,21.330698149171592
-32_159,2004,22.119849212834094
-32_159,2005,21.824396817978116
-32_159,2006,21.353739273384825
-32_159,2007,21.442054340937368
-32_159,2008,21.141652524145574
-32_159,2009,21.631903575217887
-32_159,2010,22.018821441963926
-32_159,2011,21.69727348432149
-32_159,2012,20.97633829794295
-32_159,2013,21.317876230527276
-32_159,2014,21.53988992612656
-32_159,2015,21.942259780674764
-32_159,2016,21.892267276680535
-32_159,2017,21.765177614394933
-32_159,2018,21.49675294275153
-32_159,2019,21.974054273840498
-32_159,2020,22.00051863467107
-32_159,2021,21.344615925828073
-32_159,2022,21.06305430686637
-32_159,2023,21.365698116772794
-32_159,2024,22.543647026103702
-32_159,2025,21.923876205862385
-33_152,1992,20.469999546127458
-33_152,1993,20.000056646947993
-33_152,1994,20.379351137326733
-33_152,1995,20.21269590517157
-33_152,1996,20.796725407324203
-33_152,1997,21.487972117559007
-33_152,1998,21.733225521976
-33_152,1999,21.21005887898136
-33_152,2000,20.87776364046802
-33_152,2001,21.4839629804707
-33_152,2002,20.980830577083918
-33_152,2003,20.647341998635905
-33_152,2004,20.767565556562662
-33_152,2005,20.96375524007022
-33_152,2006,21.37146984866765
-33_152,2007,20.942118247132324
-33_152,2008,20.703642530736595
-33_152,2009,20.940346565420768
-33_152,2010,21.216415045577097
-33_152,2011,21.182638788005534
-33_152,2012,20.854239062099076
-33_152,2013,21.330047448476154
-33_152,2014,21.127878533977352
-33_152,2015,21.55827348743944
-33_152,2016,21.801297340671006
-33_152,2017,21.656079425550487
-33_152,2018,20.967659339295132
-33_152,2019,21.488186725633874
-33_152,2020,20.91472403121559
-33_152,2021,21.398236974951338
-33_152,2022,21.487357962185932
-33_152,2023,21.45941960495901
-33_152,2024,21.680240866916428
-33_152,2025,21.85303147329043
-34_151,1992,20.11567577898828
-34_151,1993,19.453588588270424
-34_151,1994,19.957985858394675
-34_151,1995,19.680321496806734
-34_151,1996,20.282233154838853
-34_151,1997,20.833972123551042
-34_151,1998,21.55818444212822
-34_151,1999,20.752677627458965
-34_151,2000,20.484152522894853
-34_151,2001,21.2857871865573
-34_151,2002,20.355828341392623
-34_151,2003,20.25379402735462
-34_151,2004,20.257267299245616
-34_151,2005,20.617513213745536
-34_151,2006,21.071766629937578
-34_151,2007,20.629020078214882
-34_151,2008,20.029125241633974
-34_151,2009,20.566513247032688
-34_151,2010,20.75494473601041
-34_151,2011,20.829739280596172
-34_151,2012,20.375566473424108
-34_151,2013,21.0391502354243
-34_151,2014,20.775746115593062
-34_151,2015,21.141424180383552
-34_151,2016,21.6411880352458
-34_151,2017,21.381239267897932
-34_151,2018,20.358972148372704
-34_151,2019,21.094842002816396
-34_151,2020,20.31224682161717
-34_151,2021,20.943307761623434
-34_151,2022,21.18588308961424
-34_151,2023,21.080677617739326
-34_151,2024,21.078879306876594
-34_151,2025,21.242163918116322
-35_151,1992,19.701921249347958
-35_151,1993,18.98992651412476
-35_151,1994,19.279579496165933
-35_151,1995,18.76052010941179
-35_151,1996,19.489471316554724
-35_151,1997,20.150447045940243
-35_151,1998,21.14635568731996
-35_151,1999,20.308766660298385
-35_151,2000,20.21978098968339
-35_151,2001,20.912136518574197
-35_151,2002,19.734200477600098
-35_151,2003,20.044867119288334
-35_151,2004,19.860527780320908
-35_151,2005,20.294602293946426
-35_151,2006,20.464136541706242
-35_151,2007,20.292227870470857
-35_151,2008,19.39621084418236
-35_151,2009,20.037332859648963
-35_151,2010,20.416994971009693
-35_151,2011,20.25525978819965
-35_151,2012,19.550791931499766
-35_151,2013,20.69978948967642
-35_151,2014,20.56194472639528
-35_151,2015,20.698163912176543
-35_151,2016,21.267677133417738
-35_151,2017,20.851077162511817
-35_151,2018,19.716529229569108
-35_151,2019,20.687652516473918
-35_151,2020,20.04224910545002
-35_151,2021,20.30402696600788
-35_151,2022,20.82837393425371
-35_151,2023,20.989396801604528
-35_151,2024,20.640719029855642
-35_151,2025,20.90075751526715
-36_150,1992,18.924799228192246
-36_150,1993,18.544072648488225
-36_150,1994,18.58062058496693
-36_150,1995,18.045903697079176
-36_150,1996,17.9508875779984
-36_150,1997,19.175994981913806
-36_150,1998,20.22817762801636
-36_150,1999,19.504867139145663
-36_150,2000,19.63949409338946
-36_150,2001,20.162533800133833
-36_150,2002,19.04845161525082
-36_150,2003,19.503099999362476
-36_150,2004,19.28501324271461
-36_150,2005,19.531647935632158
-36_150,2006,19.35800873090143
-36_150,2007,19.489405965151853
-36_150,2008,18.66508612346128
-36_150,2009,19.205300945560683
-36_150,2010,19.762579458489267
-36_150,2011,19.567853434227374
-36_150,2012,18.350860236555285
-36_150,2013,19.648999575610574
-36_150,2014,19.868839735527562
-36_150,2015,20.063342006892373
-36_150,2016,20.262230878753524
-36_150,2017,19.775926491550116
-36_150,2018,19.296839730598066
-36_150,2019,19.953346592977166
-36_150,2020,19.436388470001777
-36_150,2021,19.354154816283483
-36_150,2022,19.76950640743726
-36_150,2023,20.387013235048617
-36_150,2024,19.911875704815696
-36_150,2025,19.88410915130894
-38_145,1992,15.348185457948778
-38_145,1993,15.735714714886392
-38_145,1994,15.106262689355301
-38_145,1995,15.12141884372659
-38_145,1996,14.897425888666039
-38_145,1997,15.46238321173681
-38_145,1998,15.659254443024937
-38_145,1999,15.784651702985371
-38_145,2000,16.047846637788368
-38_145,2001,15.923435274934116
-38_145,2002,15.630344864832212
-38_145,2003,15.344964044649307
-38_145,2004,15.482720978012502
-38_145,2005,16.088706510883487
-38_145,2006,15.65336403572396
-38_145,2007,16.178087309223333
-38_145,2008,15.796638988015431
-38_145,2009,16.05829552376107
-38_145,2010,16.26852565399588
-38_145,2011,15.978980473557563
-38_145,2012,15.912999649777438
-38_145,2013,16.138843480462896
-38_145,2014,16.332437990266982
-38_145,2015,15.906355809773485
-38_145,2016,16.065212765156897
-38_145,2017,16.35823525833757
-38_145,2018,16.295583198233828
-38_145,2019,16.128098285100233
-38_145,2020,15.689775599286856
-38_145,2021,15.722690036721426
-38_145,2022,16.157210599298345
-38_145,2023,16.28033938420962
-38_145,2024,16.621682695482598
-38_145,2025,16.454591397324652
-38_149,1992,16.069036528712413
-38_149,1993,15.906383197601528
-38_149,1994,15.721766786705958
-38_149,1995,15.47873253103805
-38_149,1996,15.226741455943207
-38_149,1997,16.18860238806842
-38_149,1998,16.465157146323218
-38_149,1999,16.44573936723683
-38_149,2000,16.822205891374683
-38_149,2001,16.87724619630265
-38_149,2002,16.69847221831753
-38_149,2003,16.39230099769488
-38_149,2004,16.349910851384774
-38_149,2005,16.710855794932744
-38_149,2006,16.402937994264576
-38_149,2007,16.685664010374513
-38_149,2008,16.256666310497973
-38_149,2009,16.605095538701097
-38_149,2010,16.75131470405892
-38_149,2011,16.70852016945408
-38_149,2012,16.271311115046018
-38_149,2013,16.575787289501868
-38_149,2014,17.090999624827138
-38_149,2015,17.164239345184743
-38_149,2016,17.119924483403484
-38_149,2017,17.365403719470926
-38_149,2018,16.89253385426247
-38_149,2019,16.840342090554433
-38_149,2020,16.456919037579187
-38_149,2021,16.71480100971379
-38_149,2022,16.341787307556363
-38_149,2023,16.92228043373317
-38_149,2024,17.32701463972936
-38_149,2025,16.939444829993054
-39_146,1992,15.110643250477553
-39_146,1993,15.318925087637009
-39_146,1994,14.95716557843863
-39_146,1995,14.625686129623714
-39_146,1996,14.580755586977359
-39_146,1997,15.03498290597576
-39_146,1998,15.23852934989755
-39_146,1999,15.569783517033361
-39_146,2000,15.99154487898224
-39_146,2001,15.82495549548888
-39_146,2002,15.36420362173513
-39_146,2003,15.243476072802029
-39_146,2004,15.267592256982615
-39_146,2005,15.835725664112665
-39_146,2006,15.369113812090962
-39_146,2007,15.827479104400588
-39_146,2008,15.57695776285659
-39_146,2009,15.84964042907436
-39_146,2010,16.00831928456392
-39_146,2011,15.69462370647506
-39_146,2012,15.646171474283076
-39_146,2013,16.133622179945853
-39_146,2014,15.999689136719958
-39_146,2015,15.549095535858944
-39_146,2016,15.761207909459552
-39_146,2017,16.075570438332754
-39_146,2018,16.03203921789811
-39_146,2019,15.818294905454964
-39_146,2020,15.214796261709244
-39_146,2021,15.514297982365392
-39_146,2022,15.539174698839812
-39_146,2023,16.058221868982418
-39_146,2024,16.249434974024204
-39_146,2025,16.172891569790774
-39_147,1992,14.97496551112399
-39_147,1993,15.002006519004091
-39_147,1994,14.787027071600091
-39_147,1995,14.47979419721316
-39_147,1996,14.420293394333678
-39_147,1997,14.788965404196961
-39_147,1998,15.040116101748323
-39_147,1999,15.384992824841852
-39_147,2000,15.871557022704453
-39_147,2001,15.685321575974765
-39_147,2002,15.307177750051839
-39_147,2003,15.097047591536013
-39_147,2004,14.985819353431951
-39_147,2005,15.587259913797247
-39_147,2006,15.070896933176746
-39_147,2007,15.65788319796732
-39_147,2008,15.301570706028755
-39_147,2009,15.642855809486075
-39_147,2010,15.760438000665951
-39_147,2011,15.41413663968648
-39_147,2012,15.424343918842045
-39_147,2013,15.828705138376314
-39_147,2014,15.693088694794538
-39_147,2015,15.436944855075993
-39_147,2016,15.693264672664997
-39_147,2017,15.78075991526042
-39_147,2018,15.841780465269743
-39_147,2019,15.609773614961806
-39_147,2020,15.032793379872222
-39_147,2021,15.34885582401328
-39_147,2022,15.475191439667793
-39_147,2023,15.860739380692783
-39_147,2024,16.065819333159858
-39_147,2025,15.931883223416055
-42_148,1992,14.425992388977162
-42_148,1993,14.600629818711651
-42_148,1994,14.0510499004904
-42_148,1995,14.046483700460495
-42_148,1996,13.586069830128404
-42_148,1997,14.157999696252553
-42_148,1998,14.345068166462799
-42_148,1999,14.936241687269515
-42_148,2000,15.263150860485919
-42_148,2001,15.34838320849693
-42_148,2002,14.77973026380147
-42_148,2003,15.065981402462477
-42_148,2004,14.387996040841053
-42_148,2005,14.623958559341082
-42_148,2006,14.323981403106968
-42_148,2007,15.572360373196537
-42_148,2008,14.640086185736735
-42_148,2009,14.960561300303837
-42_148,2010,15.166771348317464
-42_148,2011,14.769045344661905
-42_148,2012,15.023455952903177
-42_148,2013,15.127095549944872
-42_148,2014,15.234410627356404
-42_148,2015,15.331332982294091
-42_148,2016,15.672426800041686
-42_148,2017,15.4974973730845
-42_148,2018,15.494008799775006
-42_148,2019,15.017086411393397
-42_148,2020,15.081088017896224
-42_148,2021,15.445086401673757
-42_148,2022,15.26883070349149
-42_148,2023,15.478392331458663
-42_148,2024,15.73714445240945
-42_148,2025,15.4181914407913
-43_146,1992,13.151215543512437
-43_146,1993,13.44747229667559
-43_146,1994,12.997246294152246
-43_146,1995,12.769609310202403
-43_146,1996,12.784214193703699
-43_146,1997,13.09384901033689
-43_146,1998,13.282664079535497
-43_146,1999,13.959369545766751
-43_146,2000,14.15902291295307
-43_146,2001,14.383417465915418
-43_146,2002,13.686307914942912
-43_146,2003,13.756225720497026
-43_146,2004,12.943845333948813
-43_146,2005,13.681321606570727
-43_146,2006,13.33776681717128
-43_146,2007,14.228951738305287
-43_146,2008,13.701577559846346
-43_146,2009,14.00825995615084
-43_146,2010,14.067307885705608
-43_146,2011,13.768095574966848
-43_146,2012,14.179746945699057
-43_146,2013,14.552910636875728
-43_146,2014,14.273403788266117
-43_146,2015,13.571061341403281
-43_146,2016,14.345839858706531
-43_146,2017,14.224979149805357
-43_146,2018,14.217581858047067
-43_146,2019,13.854362718373128
-43_146,2020,13.582909524766475
-43_146,2021,14.14752023514003
-43_146,2022,14.503650353052844
-43_146,2023,14.67137639359252
-43_146,2024,14.439350762653872
-43_146,2025,14.755527075022867
-43_147,1992,13.251573465170104
-43_147,1993,13.583824365171667
-43_147,1994,13.133172321580862
-43_147,1995,12.870865469109523
-43_147,1996,12.883928669476118
-43_147,1997,13.112706556450831
-43_147,1998,13.395528464643922
-43_147,1999,14.006931192058406
-43_147,2000,14.26628382583785
-43_147,2001,14.405813376544273
-43_147,2002,13.80347914813316
-43_147,2003,13.920399674193499
-43_147,2004,13.187158172378123
-43_147,2005,13.812542155540152
-43_147,2006,13.427780519772883
-43_147,2007,14.112213389775524
-43_147,2008,13.770895867790681
-43_147,2009,14.005320230248856
-43_147,2010,14.220794203771304
-43_147,2011,13.824383239746094
-43_147,2012,14.213688206802951
-43_147,2013,14.593681869506836
-43_147,2014,14.219550359020495
-43_147,2015,13.685457210279491
-43_147,2016,14.62295048354102
-43_147,2017,14.397380502779189
-43_147,2018,14.389873655136318
-43_147,2019,14.008312017362412
-43_147,2020,13.701169084330074
-43_147,2021,14.29237228080018
-43_147,2022,14.46252021894063
-43_147,2023,14.693018831226924
-43_147,2024,14.716081632291033
-43_147,2025,14.654448989450115
-43_148,1992,13.687289309371364
-43_148,1993,13.938227084434196
-43_148,1994,13.5134298337649
-43_148,1995,13.27720518268951
-43_148,1996,13.057322112067801
-43_148,1997,13.472922994012702
-43_148,1998,13.787912009774821
-43_148,1999,14.374665429624793
-43_148,2000,14.653354856876728
-43_148,2001,14.868002393539637
-43_148,2002,14.335142151819516
-43_148,2003,14.421802426690924
-43_148,2004,13.577119901532033
-43_148,2005,14.064101062147584
