box_id,year,month,sst_mean_monthly
-30_153,1992,1,24.020773672288463
-30_153,1992,2,25.29606836253199
-30_153,1992,3,25.2046445415866
-30_153,1992,4,24.09739949544271
-30_153,1992,5,23.06264468777564
-30_153,1992,6,21.348932813008627
-30_153,1992,7,20.773031850014963
-30_153,1992,8,20.011676874468403
-30_153,1992,9,20.31946615854899
-30_153,1992,10,21.805870523760394
-30_153,1992,11,22.42359942118327
-30_153,1992,12,23.777483306392547
-30_153,1993,1,24.695612409037928
-30_153,1993,2,25.19571373803275
-30_153,1993,3,23.597160770047097
-30_153,1993,4,23.468466186523436
-30_153,1993,5,22.768967253162014
-30_153,1993,6,21.64119955698649
-30_153,1993,7,20.673031825404014
-30_153,1993,8,20.27038654204338
-30_153,1993,9,20.74913293202718
-30_153,1993,10,21.21148335856776
-30_153,1993,11,21.917932815551758
-30_153,1993,12,23.002773715603738
-30_153,1994,1,24.624838146086663
-30_153,1994,2,25.73764224733625
-30_153,1994,3,24.200451007966073
-30_153,1994,4,23.19813280741374
-30_153,1994,5,22.853999476278982
-30_153,1994,6,20.61646622975667
-30_153,1994,7,20.50264469269783
-30_153,1994,8,20.258644682361233
-30_153,1994,9,19.956799507141113
-30_153,1994,10,19.76251566486974
-30_153,1994,11,21.975732828776042
-30_153,1994,12,23.902515608264554
-30_153,1995,1,25.13683816232989
-30_153,1995,2,25.514213684626988
-30_153,1995,3,25.103418756300403
-30_153,1995,4,24.467399470011394
-30_153,1995,5,23.43593498968309
-30_153,1995,6,21.36539951324463
-30_153,1995,7,20.666128613871912
-30_153,1995,8,20.528128543976816
-30_153,1995,9,19.745399525960288
-30_153,1995,10,19.836451155139553
-30_153,1995,11,22.20553288777669
-30_153,1995,12,23.379999505319905
-30_153,1996,1,25.325870440083165
-30_153,1996,2,24.637792482047246
-30_153,1996,3,25.439225252213017
-30_153,1996,4,24.798866119384765
-30_153,1996,5,23.192838164298763
-30_153,1996,6,21.878866132100423
-30_153,1996,7,20.18658020265641
-30_153,1996,8,19.79645121174474
-30_153,1996,9,19.417866236368816
-30_153,1996,10,20.174193130000944
-30_153,1996,11,22.302666257222494
-30_153,1996,12,23.586902692241054
-30_153,1997,1,25.196063995361328
-30_153,1997,2,25.912642356327602
-30_153,1997,3,25.948451109855405
-30_153,1997,4,24.44859935760498
-30_153,1997,5,23.0932253683767
-30_153,1997,6,21.95513286590576
-30_153,1997,7,20.766902800529234
-30_153,1997,8,20.174322103684947
-30_153,1997,9,20.465999565124513
-30_153,1997,10,21.151160873905305
-30_153,1997,11,22.747132848103842
-30_153,1997,12,24.74374134925104
-30_153,1998,1,25.74238649183704
-30_153,1998,2,26.72385653087071
-30_153,1998,3,26.32645102470152
-30_153,1998,4,25.10953280131022
-30_153,1998,5,24.136773706251574
-30_153,1998,6,22.76533275604248
-30_153,1998,7,21.1472898421749
-30_153,1998,8,20.294322229200795
-30_153,1998,9,21.671132888793945
-30_153,1998,10,21.661547986922727
-30_153,1998,11,22.20039950052897
-30_153,1998,12,24.86206390626969
-30_153,1999,1,25.908709113828596
-30_153,1999,2,25.95649937220982
-30_153,1999,3,26.124709037042432
-30_153,1999,4,24.757866071065266
-30_153,1999,5,22.858773705267136
-30_153,1999,6,22.133399607340493
-30_153,1999,7,20.414386589296402
-30_153,1999,8,19.567096341040827
-30_153,1999,9,20.506399561564127
-30_153,1999,10,21.44051566585418
-30_153,1999,11,22.269532877604167
-30_153,1999,12,23.65367685133411
-30_153,2000,1,24.303612346033898
-30_153,2000,2,24.589309771307583
-30_153,2000,3,25.01025746253229
-30_153,2000,4,24.188199501037598
-30_153,2000,5,22.78516069227649
-30_153,2000,6,21.1003328704834
-30_153,2000,7,19.41612850312264
-30_153,2000,8,19.46154797461725
-30_153,2000,9,19.493799616495767
-30_153,2000,10,21.181612396240233
-30_153,2000,11,22.388332799275716
-30_153,2000,12,24.083805933306294
-30_153,2001,1,25.152644557337606
-30_153,2001,2,25.624356501443046
-30_153,2001,3,25.670063941709458
-30_153,2001,4,25.010666020711263
-30_153,2001,5,23.83703172745243
-30_153,2001,6,23.079666137695313
-30_153,2001,7,21.331160859138734
-30_153,2001,8,20.48335440851027
-30_153,2001,9,20.46646625518799
-30_153,2001,10,21.609547891924457
-30_153,2001,11,22.149666175842285
-30_153,2001,12,23.890064005697926
-30_153,2002,1,24.496128476050593
-30_153,2002,2,25.997428022112164
-30_153,2002,3,25.875805934782953
-30_153,2002,4,24.60373277028402
-30_153,2002,5,23.563354332216324
-30_153,2002,6,22.228332850138347
-30_153,2002,7,20.340838303104523
-30_153,2002,8,20.304838266680317
-30_153,2002,9,20.310266240437826
-30_153,2002,10,20.75116086159983
-30_153,2002,11,22.75626619974772
-30_153,2002,12,24.02438657206874
-30_153,2003,1,24.905289791476342
-30_153,2003,2,25.13885654721941
-30_153,2003,3,24.725870440083167
-30_153,2003,4,24.499866167704266
-30_153,2003,5,23.01999946102019
-30_153,2003,6,20.71133280436198
-30_153,2003,7,20.168064055904264
-30_153,2003,8,20.169999534853044
-30_153,2003,9,21.000599530537922
-30_153,2003,10,21.18845105325022
-30_153,2003,11,21.82719950358073
-30_153,2003,12,23.274321968324724
-30_153,2004,1,24.42316076217159
-30_153,2004,2,25.19379259306809
-30_153,2004,3,25.49128972945675
-30_153,2004,4,25.137266146341958
-30_153,2004,5,22.807934877949375
-30_153,2004,6,20.810332883199056
-30_153,2004,7,20.210967303860574
-30_153,2004,8,19.836644695651145
-30_153,2004,9,20.387266184488933
-30_153,2004,10,21.63225755999165
-30_153,2004,11,21.85666624704997
-30_153,2004,12,23.00025754128733
