population,latmin,latmax,lonmin,lonmax
-43_146,-43.75,-42.5,145.75,146.5
-43_147,-43.75,-42.5,146.5,147.5
-43_148,-43.75,-42.5,147.5,148.25
-42_148,-42.5,-41.5,147.5,148.5
-39_146,-39.25,-38.5,145.5,146.5
-39_147,-39.5,-39.25,146.5,147.5
-38_145,-38.5,-37.5,144.5,145.5
-38_149,-38,-37.75,148.5,149.5
-36_150,-36.5,-35.5,150,150.5
-35_151,-35.25,-34.5,150.5,151
-34_151,-34.25,-33.5,151,151.5
-33_152,-33.5,-32.5,151.5,152.5
-32_159,-32,-31.5,159,159.25
-30_153,-30.5,-29.5,153,153.5
