population,latmin,latmax,lonmin,lonmax
-43_146,-43.5,-42.5,145.5,146.5
-43_147,-43.5,-42.5,146.5,147.5
-43_148,-43.5,-42.5,147.5,148.5
-42_148,-42.5,-41.5,147.5,148.5
-39_146,-39.5,-38.5,145.5,146.5
-39_147,-39.5,-38.5,146.5,147.5
-38_145,-38.5,-37.5,144.5,145.5
-38_149,-38.5,-37.5,148.5,149.5
-36_150,-36.5,-35.5,149.5,150.5
-35_151,-35.5,-34.5,150.5,151.5
-34_151,-34.5,-33.5,150.5,151.5
-33_152,-33.5,-32.5,151.5,152.5
-32_159,-32.5,-31.5,158.5,159.5
-30_153,-30.5,-29.5,152.5,153.5
